,Generation,Max,Min,Median
0,1,19,0,0
1,2,19,0,0
2,3,19,0,0
3,4,19,0,0
4,5,19,0,0
5,6,19,0,9
6,7,19,9,9
7,8,19,9,9
8,9,19,9,13
9,10,19,13,13
10,11,19,13,13
11,12,19,13,13
12,13,19,13,13
13,14,19,13,13
14,15,19,13,13
15,16,19,13,13
16,17,19,13,19
17,18,19,19,19
18,19,19,19,19
19,20,19,19,19
20,21,19,19,19
21,22,19,19,19
22,23,19,19,19
23,24,19,19,19
24,25,19,19,19
25,26,19,19,19
26,27,19,19,19
27,28,19,19,19
28,29,19,19,19
29,30,19,19,19
30,31,19,19,19
31,32,19,19,19
32,33,19,19,19
33,34,19,19,19
34,35,19,19,19
35,36,19,19,19
36,37,19,19,19
37,38,19,19,19
38,39,19,19,19
39,40,19,19,19
40,41,19,19,19
41,42,19,19,19
42,43,19,19,19
43,44,19,19,19
44,45,19,19,19
45,46,19,19,19
46,47,19,19,19
47,48,19,19,19
48,49,19,19,19
49,50,19,19,19
50,51,19,19,19
51,52,19,19,19
52,53,19,19,19
53,54,19,19,19
54,55,19,19,19
55,56,19,19,19
56,57,19,19,19
57,58,19,19,19
58,59,19,19,19
59,60,19,19,19
60,61,19,19,19
61,62,19,19,19
62,63,19,19,19
63,64,19,19,19
64,65,19,19,19
65,66,19,19,19
66,67,19,19,19
67,68,19,19,19
68,69,19,19,19
69,70,19,19,19
70,71,19,19,19
71,72,19,19,19
72,73,19,19,19
73,74,19,19,19
74,75,19,19,19
75,76,19,19,19
76,77,19,19,19
77,78,19,19,19
78,79,19,19,19
79,80,19,19,19
80,81,19,19,19
81,82,19,19,19
82,83,19,19,19
83,84,19,19,19
84,85,19,19,19
85,86,19,19,19
86,87,19,19,19
87,88,19,19,19
88,89,19,19,19
89,90,19,19,19
90,91,19,19,19
91,92,19,19,19
92,93,19,19,19
93,94,19,19,19
94,95,19,19,19
95,96,19,19,19
96,97,19,19,19
97,98,19,19,19
98,99,19,19,19
99,100,19,19,19
100,102,19,19,19
101,112,19,19,19
102,122,19,19,19
103,132,19,19,19
104,142,19,19,19
105,152,19,19,19
106,162,19,19,19
107,172,19,19,19
108,182,19,19,19
109,192,19,19,19
110,202,19,19,19
111,212,19,19,19
112,222,19,19,19
113,232,19,19,19
114,242,19,19,19
115,252,19,19,19
116,262,19,19,19
117,272,19,19,19
118,282,19,19,19
119,292,19,19,19
120,302,19,19,19
121,312,19,19,19
122,322,19,19,19
123,332,19,19,19
124,342,19,19,19
125,352,19,19,19
126,362,19,19,19
127,372,19,19,19
128,382,19,19,19
129,392,19,19,19
130,402,19,19,19
131,412,19,19,19
132,422,19,19,19
133,432,19,19,19
134,442,19,19,19
135,452,19,19,19
136,462,19,19,19
137,472,19,19,19
138,482,19,19,19
139,492,19,19,19
140,502,19,19,19
141,512,19,19,19
142,522,19,19,19
143,532,19,19,19
144,542,19,19,19
145,552,19,19,19
146,562,19,19,19
147,572,19,19,19
148,582,19,19,19
149,592,19,19,19
150,602,19,19,19
151,612,19,19,19
152,622,19,19,19
153,632,19,19,19
154,642,19,19,19
155,652,19,19,19
156,662,19,19,19
157,672,19,19,19
158,682,19,19,19
159,692,19,19,19
160,702,19,19,19
161,712,19,19,19
162,722,19,19,19
163,732,19,19,19
164,742,19,19,19
165,752,19,19,19
166,762,19,19,19
167,772,19,19,19
168,782,19,19,19
169,792,19,19,19
170,802,19,19,19
171,812,19,19,19
172,822,19,19,19
173,832,19,19,19
174,842,19,19,19
175,852,19,19,19
176,862,19,19,19
